,,,Abra,Abra, Abra , Abra ,Arbok,Arbok, Arbok , Arbok ,Diglett Media,Diglett Media, Diglett Media , Diglett Media ,Ivysaur,Ivysaur, Ivysaur , Ivysaur ,Onix,Onix, Onix , Onix ,Snorlax,Snorlax, Snorlax , Snorlax ,Snorlax Tagless,Snorlax Tagless, Snorlax Tagless , Snorlax Tagless ,SPEAROW,SPEAROW, SPEAROW , SPEAROW 
Mth,Date,Site,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue 
1,1/17/2016,EasyBib,300713,0, $ 712.90 , $ -   ,553949,0, $ 707.51 , $ -   ,0,0, $ -   , $ -   ,313761,0, $ 866.20 , $ -   ,995993,0," $ 2,001.64 ", $ -   ,195549,0, $ 380.44 , $ -   ,0,0, $ -   , $ -   ,567284,580908," $ 1,672.01 "," $ 1,803.90 "
1,1/18/2016,BibMe,178680,0, $ 431.87 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,142888,0, $ 410.58 , $ -   ,372014,0, $ 731.41 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,471511,445136, $ 815.80 , $ 784.10 
1,1/18/2016,CitationMachine,677926,0," $ 1,413.09 ", $ -   ,1194177,0," $ 1,600.06 ", $ -   ,0,0, $ -   , $ -   ,464832,0," $ 1,419.93 ", $ -   ,2483197,0," $ 4,769.33 ", $ -   ,743292,0," $ 1,362.66 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/18/2016,EasyBib,631970,0," $ 1,297.51 ", $ -   ,1138068,0," $ 1,304.46 ", $ -   ,0,0, $ -   , $ -   ,620185,0," $ 1,661.86 ", $ -   ,2128264,0," $ 3,819.51 ", $ -   ,407798,0, $ 738.65 , $ -   ,0,0, $ -   , $ -   ,1078128,1132018," $ 3,004.53 "," $ 3,262.40 "
1,1/19/2016,BibMe,192958,0, $ 510.99 , $ -   ,18975,0, $ 33.11 , $ -   ,0,0, $ -   , $ -   ,134378,0, $ 395.42 , $ -   ,390309,0, $ 813.31 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,509911,464022, $ 923.09 , $ 861.85 
1,1/19/2016,CitationMachine,844290,0," $ 1,936.20 ", $ -   ,1296925,0," $ 1,742.13 ", $ -   ,0,0, $ -   , $ -   ,487011,0," $ 1,603.36 ", $ -   ,3063139,0," $ 6,163.31 ", $ -   ,813549,0," $ 1,511.05 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/19/2016,EasyBib,897634,0," $ 2,092.99 ", $ -   ,1473751,0," $ 1,653.98 ", $ -   ,0,0, $ -   , $ -   ,699075,0," $ 1,946.57 ", $ -   ,2855260,0," $ 4,755.84 ", $ -   ,586835,0, $ 993.41 , $ -   ,0,0, $ -   , $ -   ,1263716,1239921," $ 3,474.71 "," $ 3,595.86 "
1,1/20/2016,BibMe,184069,0, $ 465.47 , $ -   ,19711,0, $ 36.05 , $ -   ,0,0, $ -   , $ -   ,135363,0, $ 395.45 , $ -   ,271395,0, $ 576.92 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,493362,477364, $ 892.36 , $ 880.62 
1,1/20/2016,CitationMachine,758079,0," $ 1,679.07 ", $ -   ,412284,0, $ 621.74 , $ -   ,0,0, $ -   , $ -   ,509027,0," $ 1,669.70 ", $ -   ,2801492,0," $ 5,584.98 ", $ -   ,292552,0, $ 610.55 , $ -   ,0,0, $ -   , $ -   ,148065,165149, $ 166.90 , $ 190.87 
1,1/20/2016,EasyBib,736249,0," $ 1,633.62 ", $ -   ,1476081,0," $ 1,693.86 ", $ -   ,0,0, $ -   , $ -   ,740724,0," $ 2,029.40 ", $ -   ,3065283,0," $ 5,161.92 ", $ -   ,628982,0," $ 1,113.85 ", $ -   ,0,0, $ -   , $ -   ,1383144,1352752," $ 3,763.17 "," $ 3,863.33 "
1,1/21/2016,BibMe,168419,0, $ 431.54 , $ -   ,122884,0, $ 232.31 , $ -   ,0,0, $ -   , $ -   ,117844,0, $ 342.20 , $ -   ,424213,0, $ 876.38 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,459852,426848, $ 845.87 , $ 807.26 
1,1/21/2016,CitationMachine,685525,0," $ 1,560.59 ", $ -   ,810969,0," $ 1,040.38 ", $ -   ,0,0, $ -   , $ -   ,441932,0," $ 1,425.91 ", $ -   ,2110258,0," $ 3,874.59 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,588244,558963," $ 1,190.33 "," $ 1,253.81 "
1,1/21/2016,EasyBib,785869,0," $ 1,688.51 ", $ -   ,1493879,0," $ 1,671.78 ", $ -   ,0,0, $ -   , $ -   ,900521,0," $ 2,376.54 ", $ -   ,2913267,0," $ 5,111.38 ", $ -   ,658352,0," $ 1,136.15 ", $ -   ,0,0, $ -   , $ -   ,1480701,1436781," $ 3,854.59 "," $ 3,856.15 "
1,1/22/2016,BibMe,145854,0, $ 391.33 , $ -   ,177811,0, $ 347.55 , $ -   ,0,0, $ -   , $ -   ,89849,0, $ 270.44 , $ -   ,357803,0, $ 744.01 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,217512,169029, $ 412.96 , $ 337.66 
1,1/22/2016,CitationMachine,634207,0," $ 1,522.80 ", $ -   ,1164175,0," $ 1,649.37 ", $ -   ,0,0, $ -   , $ -   ,384207,0," $ 1,311.45 ", $ -   ,1518105,0," $ 3,161.58 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,594171,517961," $ 1,237.68 "," $ 1,135.11 "
1,1/22/2016,EasyBib,497573,0," $ 1,181.23 ", $ -   ,999873,0," $ 1,129.05 ", $ -   ,0,0, $ -   , $ -   ,561809,0," $ 1,484.22 ", $ -   ,1868884,0," $ 3,354.27 ", $ -   ,446805,0, $ 781.09 , $ -   ,0,0, $ -   , $ -   ,985536,861831," $ 2,528.13 "," $ 2,250.00 "
1,1/23/2016,BibMe,128919,0, $ 363.86 , $ -   ,147233,0, $ 310.39 , $ -   ,0,0, $ -   , $ -   ,77678,0, $ 233.09 , $ -   ,259242,0, $ 638.46 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,74579,69670, $ 165.60 , $ 165.52 
1,1/23/2016,CitationMachine,581699,0," $ 1,483.44 ", $ -   ,914796,0," $ 1,548.66 ", $ -   ,0,0, $ -   , $ -   ,372352,0," $ 1,199.18 ", $ -   ,1243615,0," $ 2,892.33 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,564203,534253," $ 1,170.71 "," $ 1,165.81 "
1,1/23/2016,EasyBib,247413,0, $ 643.11 , $ -   ,412737,0, $ 594.91 , $ -   ,0,0, $ -   , $ -   ,351608,0, $ 932.83 , $ -   ,849389,0," $ 1,783.42 ", $ -   ,177175,0, $ 381.29 , $ -   ,0,0, $ -   , $ -   ,534052,521718," $ 1,512.61 "," $ 1,548.96 "
1,1/24/2016,BibMe,259454,0, $ 710.37 , $ -   ,290207,0, $ 609.51 , $ -   ,0,0, $ -   , $ -   ,144564,0, $ 432.13 , $ -   ,548858,0," $ 1,268.82 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,162035,160437, $ 333.61 , $ 352.90 
1,1/24/2016,CitationMachine,1125024,0," $ 2,797.68 ", $ -   ,1783242,0," $ 2,876.80 ", $ -   ,0,0, $ -   , $ -   ,636942,0," $ 2,074.74 ", $ -   ,2400153,0," $ 5,470.11 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,1049293,1011026," $ 2,144.87 "," $ 2,189.58 "
1,1/24/2016,EasyBib,445890,0," $ 1,114.93 ", $ -   ,981738,0," $ 1,336.16 ", $ -   ,0,0, $ -   , $ -   ,760249,0," $ 2,054.64 ", $ -   ,2111005,0," $ 4,318.46 ", $ -   ,406070,0, $ 820.49 , $ -   ,0,0, $ -   , $ -   ,1267474,1351722," $ 3,504.48 "," $ 3,880.91 "
1,1/25/2016,BibMe,260703,0, $ 671.76 , $ -   ,257849,0, $ 508.09 , $ -   ,0,0, $ -   , $ -   ,135073,0, $ 408.39 , $ -   ,550932,0," $ 1,151.42 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,176298,162897, $ 336.73 , $ 325.55 
