,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue 
Date,SUM of Abra_1,SUM of Abra_2,SUM of  Abra_3 ,SUM of  Abra_4 ,SUM of Arbok_1,SUM of Arbok_2,SUM of  Arbok_3 ,SUM of  Arbok_4 ,SUM of Diglett Media_1,SUM of Diglett Media_2,SUM of  Diglett Media_3 ,SUM of  Diglett Media_4 ,SUM of Ivysaur_1,SUM of Ivysaur_2,SUM of  Ivysaur_3 ,SUM of  Ivysaur_4 ,SUM of Onix_1,SUM of Onix_2,SUM of  Onix_3 ,SUM of  Onix_4 ,SUM of Snorlax_1,SUM of Snorlax_2,SUM of  Snorlax_3 ,SUM of  Snorlax_4 ,SUM of SPEAROW_1,SUM of SPEAROW_2,SUM of  SPEAROW_3 ,SUM of  SPEAROW_4 
2/22/2016,5742751,0," $ 16,213.93 ", $ -   ,5618024,0," $ 10,348.44 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,7951086,0," $ 15,878.79 ", $ -   ,0,0, $ -   , $ -   ,8738695,7810428," $ 22,326.29 "," $ 20,933.97 "
2/23/2016,4358366,0," $ 12,299.98 ", $ -   ,5178035,0," $ 9,621.60 ", $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,7482363,0," $ 14,892.48 ", $ -   ,0,0, $ -   , $ -   ,7592291,7076650," $ 21,767.47 "," $ 21,467.64 "
2/24/2016,3191682,0," $ 7,975.76 ", $ -   ,5135833,0," $ 9,262.01 ", $ -   ,0,0, $ -   , $ -   ,1404245,1220150," $ 3,638.60 "," $ 3,366.27 ",6593804,0," $ 13,684.09 ", $ -   ,749740,0," $ 1,869.27 ", $ -   ,9510030,9168869," $ 25,689.40 "," $ 25,656.07 "
2/25/2016,3352676,0," $ 8,905.51 ", $ -   ,4657183,0," $ 8,500.24 ", $ -   ,0,0, $ -   , $ -   ,2848856,2447049," $ 7,488.25 "," $ 6,740.68 ",6290159,0," $ 13,197.17 ", $ -   ,1572289,0," $ 3,950.96 ", $ -   ,8914261,8351734," $ 24,213.36 "," $ 23,471.43 "
2/26/2016,2396920,0," $ 6,368.19 ", $ -   ,3310262,0," $ 6,224.22 ", $ -   ,0,0, $ -   , $ -   ,2872581,2476835," $ 7,921.02 "," $ 6,994.84 ",4682164,0," $ 10,345.05 ", $ -   ,1543335,0," $ 4,205.04 ", $ -   ,6394826,5519824," $ 17,237.99 "," $ 15,319.56 "
2/27/2016,1617111,0," $ 4,427.28 ", $ -   ,2290860,0," $ 4,743.20 ", $ -   ,0,0, $ -   , $ -   ,2018566,1759115," $ 5,832.12 "," $ 5,153.82 ",2962483,0," $ 7,560.91 ", $ -   ,768210,0," $ 2,283.75 ", $ -   ,4018784,3755134," $ 10,869.87 "," $ 10,457.06 "
2/28/2016,3245309,0," $ 8,143.03 ", $ -   ,5093589,0," $ 9,992.53 ", $ -   ,0,0, $ -   , $ -   ,4758783,4185765," $ 13,562.08 "," $ 12,149.77 ",6974815,0," $ 16,405.69 ", $ -   ,1771639,0," $ 4,813.85 ", $ -   ,9165885,9346720," $ 24,071.51 "," $ 25,588.69 "
2/29/2016,3531539,0," $ 8,655.84 ", $ -   ,5361167,0," $ 9,636.69 ", $ -   ,0,0, $ -   , $ -   ,4817401,4240618," $ 13,585.23 "," $ 12,269.32 ",7841979,0," $ 18,219.80 ", $ -   ,2083519,0," $ 5,375.46 ", $ -   ,10450895,9774248," $ 26,631.78 "," $ 25,719.06 "
3/1/2016,3337009,0," $ 8,236.50 ", $ -   ,3984914,0," $ 6,555.42 ", $ -   ,0,0, $ -   , $ -   ,4101260,3557891," $ 10,697.40 "," $ 9,574.89 ",6847424,0," $ 15,755.26 ", $ -   ,2134087,0," $ 5,181.87 ", $ -   ,9067217,8557473," $ 23,548.32 "," $ 23,039.86 "
3/2/2016,3825064,0," $ 8,931.44 ", $ -   ,4466652,0," $ 6,943.48 ", $ -   ,0,0, $ -   , $ -   ,3820824,0," $ 9,509.63 ", $ -   ,6234898,0," $ 14,828.19 ", $ -   ,2317944,0," $ 5,703.27 ", $ -   ,9515359,9133140," $ 25,369.06 "," $ 25,194.46 "
3/3/2016,4848662,0," $ 13,316.02 ", $ -   ,4290625,0," $ 6,719.46 ", $ -   ,0,0, $ -   , $ -   ,2969027,0," $ 7,493.08 ", $ -   ,6638805,0," $ 15,419.27 ", $ -   ,2560415,0," $ 5,696.29 ", $ -   ,9790195,9325181," $ 26,237.89 "," $ 25,853.33 "
3/4/2016,3402958,0," $ 10,483.23 ", $ -   ,3008940,0," $ 5,125.83 ", $ -   ,0,0, $ -   , $ -   ,2239616,0," $ 5,624.60 ", $ -   ,4666611,0," $ 10,979.76 ", $ -   ,1931586,0," $ 4,045.17 ", $ -   ,7384111,6446029," $ 19,564.11 "," $ 17,554.03 "
3/5/2016,2247245,0," $ 6,900.85 ", $ -   ,1763151,0," $ 3,413.58 ", $ -   ,0,0, $ -   , $ -   ,1467478,0," $ 3,840.81 ", $ -   ,2658815,0," $ 7,135.43 ", $ -   ,841685,0," $ 1,979.27 ", $ -   ,3796820,3570657," $ 10,637.60 "," $ 10,291.32 "
3/6/2016,4149401,0," $ 11,738.08 ", $ -   ,3691132,0," $ 6,493.47 ", $ -   ,0,0, $ -   , $ -   ,3074120,0," $ 7,896.56 ", $ -   ,5913445,0," $ 15,072.94 ", $ -   ,1804778,0," $ 3,953.41 ", $ -   ,8502731,8712536," $ 23,609.09 "," $ 25,205.13 "
3/7/2016,4334061,0," $ 12,482.34 ", $ -   ,4664794,0," $ 8,094.27 ", $ -   ,0,0, $ -   , $ -   ,3013756,0," $ 7,618.96 ", $ -   ,6794637,0," $ 17,032.59 ", $ -   ,2103625,0," $ 4,060.22 ", $ -   ,8920891,8219775," $ 24,303.55 "," $ 23,783.16 "
